0	 || 0	 || 0	 || 1	 || 0	 || 1	 || 0.8	 || 0	 || 
0	 || 0	 || 0	 || 1	 || 0	 || 0.6	 || 0	 || 0	 || 
0	 || 0	 || 0	 || 1	 || 0	 || 0	 || -1	 || 0	 || 
0	 || 0	 || 0	 || -0.8	 || 0	 || 0	 || 0.8	 || 1	 || 
0	 || 0	 || 0	 || 1	 || 0	 || 0	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -1	 || -0.8	 || 0	 || 0	 || 1	 || 
0	 || 0	 || 0	 || -1.6	 || -1.25	 || 0	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -0.46875	 || 1	 || 0	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -2.13333	 || 0	 || 0.8	 || 1	 || 0	 || 
0	 || 0	 || 0	 || -1	 || -0.8	 || 0	 || 0	 || 1	 || 
0	 || 0	 || 0	 || -0.975	 || -0.46875	 || 0	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -0.288462	 || 1	 || 0	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -3.46667	 || 0	 || 0.8	 || 1	 || 0	 || 
0	 || 0	 || 0	 || -1	 || -0.8	 || 0	 || 0	 || 1	 || 
0	 || 0	 || 0	 || -0.830769	 || -0.288462	 || 0	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -0.208333	 || 1	 || 0	 || 0.6	 || 0	 || 
0	 || 0	 || 0	 || -4.8	 || 0	 || -2.88	 || 1	 || 0	 || 
0	 || 0	 || 0	 || -1	 || 0	 || 0	 || 0	 || 1	 || 
0	 || 0	 || 0	 || 0.6	 || -0.208333	 || 0	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -0.722222	 || 0	 || 0	 || 0	 || 1	 || 
0	 || 0	 || 0	 || 1	 || 0	 || 0.6	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -1	 || 0	 || 0	 || 0	 || 1	 || 
0	 || 0	 || 0	 || 0.6	 || -0.288462	 || 0	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -0.615385	 || 0	 || 0	 || 0	 || 1	 || 
0	 || 0	 || 0	 || 1	 || 0	 || 0.6	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -1	 || 0	 || 0	 || 0	 || 1	 || 
0	 || 0	 || 0	 || 0.6	 || -0.46875	 || 0	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -1.625	 || 0	 || 0	 || 0.8	 || 0	 || 
0	 || 0	 || 0	 || 1	 || 0	 || 0	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -1	 || -0.8	 || 0	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -0.230769	 || -0.6	 || 0	 || 0	 || 0	 || 
0	 || 0	 || 0	 || -0.56	 || 0	 || 0	 || 0	 || 0	 || 

